字段1,字段2,字段3,字段4,文本,文本1
"
							:上港集团(600018)尊敬的董秘 你好 公司去年利润172亿，分配了32亿 22年度公司现金分红金额占合并报表中归属于上市公司股东的净利
润比例为 18.93%。
 公司股价近期非常低迷，跌破净资产。作为一家负责任的国企，希望公司拿出诚意，对A股进行回购，给深爱你们公司的投资者一丝持股信心，谢谢。
						","
							尊敬的投资者，您好。二级市场股价的波动会受宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响，公司努力争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报投资者。公司目前无回购计划。感谢您对公司的关注和建议。
						",2023年11月13日 09:23,2023年11月16日 16:10,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘 你好 去年公司净利润172亿，分配了32亿，本年度公司现金分红金额占合并报表中归属于上市公司股东的净利
润比例为 18.93%。
希望明年公司能加大分配力度 谢谢。
						","
							尊敬的投资者，您好。 感谢您一直以来的关注和建议。
						",2023年11月13日 09:24,2023年11月16日 16:10,上港集团,(600018)
"
							:上港集团(600018)
您好，《公司章程》明确规定，公司每年应将当年利润中不少于50％的可分配利润向股东进行分配，为什么2022年分红只占合并报表归属股东净利润的19%？
						","
							尊敬的投资者，您好。根据《上海证券交易所股票上市规则》相关规定，上市公司制定利润分配方案时，应当以母公司报表中可供分配利润为依据。公司2022年度利润分配方案以经审计的母公司财务报表数为基准，共计派发现金红利3,259,780,265元，超过公司2022年可分配利润的50%，符合《公司章程》中对于现金分红比例的要求。感谢您对公司的关注。
						",2023年11月09日 13:30,2023年11月10日 16:50,上港集团,(600018)
"
							:上港集团(600018)上港集团自己的股票价格多年来不见起色，可能和股票市场有关，但和上港集团公司肯定也是有关系的，自己的股票市值还没有管理好，又来一个分拆上市了，我不知道上港集团公司领导是怎么想的，真的是为了公司发展考虑还是其他的呢？
						","
							尊敬的投资者，您好。二级市场股价的波动会受宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响，公司努力争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。感谢您对公司的关注。
						",2023年11月02日 18:14,2023年11月10日 16:49,上港集团,(600018)
"
							:上港集团(600018)向上港集团子公司上港足球俱乐部夺取今年中超联赛冠军表示祝贺，请问明年是否会加大上港足球俱乐部的投入，为取得更好的成绩做准备，每年红利少分点，俱乐部就可以多投入点
						","
							尊敬的投资者，您好。有关俱乐部相关信息，请您关注俱乐部官方发布。感谢您对公司的关注。
						",2023年10月31日 14:38,2023年11月10日 16:41,上港集团,(600018)
"
							:上港集团(600018)公司这几年业绩有了明显提升，有没有计划提高分红率？ 
						","
							尊敬的投资者，您好。公司十分重视股东回报，《公司章程》明确规定，公司每年应将当年利润中不少于50％的可分配利润向股东进行分配。公司将按照《公司章程》的规定实施积极稳定的股利政策，您可关注公司发布的年度利润分配方案公告。感谢您对公司的关注。
						",2023年10月23日 11:22,2023年10月23日 16:36,上港集团,(600018)
"
							:上港集团(600018)上港集团自启动分拆上市计划以来，股价持续下跌，公司董事会是否考虑停止进行分拆上市计划，以稳定上港集团股价；同时公司是否回购股份，以防止股票持续下跌呢？
						","
							尊敬的投资者，您好。今年9月，根据中国证监会发布的《关于同意上海锦江航运（集团）股份有限公司首次公开发行股票注册的批复》，中国证监会同意锦江航运首次公开发行股票的注册申请，公司分拆子公司锦江航运上市的相关工作正在推进中。关于公司股价，二级市场股价的波动会受宏观经济、大盘走势、市场环境、市场预期等诸多复杂因素影响，公司努力争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。感谢您对公司的关注。
						",2023年10月19日 16:55,2023年10月23日 16:07,上港集团,(600018)
"
							:上港集团(600018)董秘你好，自2020年以来，公司估值水平处于行业垫底位置，公司是否真诚重视中小股东利益？是否分析过估值偏低的原因？是否考虑过包括国资和中小股东在内的低收益问题？
						","
							尊敬的投资者，您好！公司十分重视股东利益。公司在资本市场的估值受宏观经济形势、投资者风险偏好、公司经营业绩等多重因素影响。公司将努力做好主业经营，提高公司的盈利能力和市场竞争力，以良好的业绩回报广大投资者。同时，公司通过官网、邮箱、投资者热线、股东大会、业绩说明会、投资者接待、上证E互动等多种方式持续加强与投资者的沟通和交流，积极传递公司价值。感谢您对公司的关注！
						",2023年09月11日 13:45,2023年09月15日 16:45,上港集团,(600018)
"
							:上港集团(600018)您好，请问上港集团人均薪酬远高于同行业是什么原因？
						","
							尊敬的投资者，您好。公司积极探索建立以公平为基础、效率为导向、岗位为核心、绩效为依据的富有竞争力的激励型薪酬分配机制。公司根据国家法律法规制定了相关薪酬管理制度，公司严格执行国家有关劳动人事的法律法规，规范实施公司薪酬福利的分配和支付。 感谢您对公司的关注。
						",2023年09月07日 09:02,2023年09月08日 16:48,上港集团,(600018)
"
							:上港集团(600018)董秘您好，贵公司离退休人员正常在社保领取退休金，集团是否还对离退休人员有其他待遇？谢谢
						","
							尊敬的投资者，您好。公司离退休人员根据国家有关法规规定，按月领取由社会保险部门发放的基本养老金。此外，公司按照对离退休人员关心关爱的相关规定，为其提供相关服务。感谢您对公司的关注。
						",2023年09月07日 09:12,2023年09月08日 16:45,上港集团,(600018)
"
							:上港集团(600018)董秘你好！公司23年度半年报利润表中联合营公司投资收益与注释差160959.73元，而22年半年报前后完全相符，请问23年度半年报是什么原因造成这种情行？
						","
							尊敬的投资者，您好。差额系2022年度下属子公司向其联营单位购买资产，属于逆流交易。根据会计准则，资产增值部分对应的内部交易损益后续通过固定资产折旧实现，本期通过资产折旧转回。感谢您对公司的关注。
						",2023年09月01日 15:56,2023年09月05日 15:06,上港集团,(600018)
"
							:上港集团(600018)董秘你好！公司23年度半年报应收股利9.8亿一项，是邮储银行的分红未到账吗？除邮储银行分红外，其他联合营公司宣告分红均已到账，对吗？
						","
							尊敬的投资者，您好。半年报中应收股利9.8亿元系应收邮储银行分红，其他合联营公司宣告分红均已到账。感谢您对公司的关注。
						",2023年09月01日 15:29,2023年09月05日 15:06,上港集团,(600018)
"
							:上港集团(600018)董秘先生好，请问拆分锦江航运后，上港集团的净资产会增加吗？谢谢。
						","
							尊敬的投资者，您好。本次分拆上市完成后，上港集团仍将控制锦江航运，锦江航运仍为公司合并财务报表范围内的子公司，锦江航运的财务状况、经营成果和盈利能力仍将反映在公司的合并报表中。尽管本次分拆将导致公司持有锦江航运的权益被摊薄，但通过本次分拆上市，锦江航运的投融资能力及市场竞争力将进一步提升，资本实力得到增强，业务发展进一步提速，进而有助于提升公司未来的综合竞争能力和整体盈利水平。感谢您对公司的关注！
						",2023年07月17日 09:00,2023年07月27日 10:23,上港集团,(600018)
"
							:上港集团(600018)我想请上港集团董事长回答，上港集团的股票价格一直在下跌，董事长认为是什么原因造成的，董事会成员是否也有过讨论，出台一些稳定的政策，2022年上港集团的业绩明明非常靓丽，但股票价格不见提升。
						","
							尊敬的投资者，您好。公司股价波动受多种因素的影响，公司基本面是一个重要因素，但宏观经济状况和二级市场上的供求关系对股价的影响也不能忽视。公司重视市值管理，通过多种渠道与广大投资者保持沟通，积极向市场传递公司发展价值。同时，公司努力争取经营业绩的可持续增长，以长期、稳定、优良的业绩回报全体股东。感谢您的关注！
						",2023年07月17日 09:23,2023年07月27日 10:21,上港集团,(600018)
"
							:上港集团(600018)公司今年的业绩有望好转吗？
						","
							尊敬的投资者，您好。公司将于8月30日披露半年度报告，具体业绩情况可届时查阅半年度报告。感谢您对公司的关注。
						",2023年07月03日 15:35,2023年07月07日 17:01,上港集团,(600018)
"
							:上港集团(600018)董秘好，贵公司分拆锦江航运上市的时候持有你们公司股票会有优先认购或者配送锦江航运股份的权利吗
						","
							尊敬的投资者，您好。根据《上市公司分拆规则(试行)》及《公司法》，结合其他A股上市公司分拆上市案例，本次锦江航运分拆上市未设置上市公司股东优先认购权。感谢您对公司的关注。
						",2023年06月27日 09:07,2023年06月30日 15:09,上港集团,(600018)
"
							:上港集团(600018)董秘您好，证监会鼓励上市公司开通微博、微信、抖音等新媒体沟通平台并在官网中公示，请问贵公司有没有开通新媒体沟通平台？如果有会不会在官网公示一下？
						","
							尊敬的投资者，您好！公司设有微信公众号“上港家园”，公司官网（www.portshanghai.com.cn）设有“投资者关系”栏，对公司公告信息及时披露，敬请查阅。感谢您对公司的关注！
						",2023年06月16日 09:15,2023年06月19日 10:15,上港集团,(600018)
"
							:上港集团(600018)董秘你好，较长时间内，公司在港口行业估值排位倒数，此市值水平与世界第一大港地位完全颠倒，请问公司管理层对此有何看法对策？建议修改《公司章程》中分红方式，按照合并报表利润进行利润分配，公司是否应该适当压缩资本开支，让公司在股东回报和长期发展方面得到平衡兼顾。
						","
							尊敬的投资者，您好！一是，公司在资本市场的估值受宏观经济形势、投资者风险偏好、公司经营业绩等多重因素影响。公司将努力做好主业经营，提高公司的盈利能力和市场竞争力，以良好的业绩回报广大投资者。同时，公司通过官网、邮箱、投资者热线、股东大会、业绩说明会、投资者接待、上证E互动等多种方式持续加强与投资者沟通和交流，有效传达公司价值。二是，关于利润分配，《上海证券交易所股票上市规则》“5.3.2 上市公司制定利润分配方案时，应当以母公司报表中可供分配利润为依据”。同时，公司致力于不断提高自身竞争力，有效控制成本和费用的增长，不断提升盈利能力和盈利水平，努力实现对投资者长期持续稳定的回报。感谢您对公司的建议和关注！
						",2023年06月14日 09:03,2023年06月19日 10:13,上港集团,(600018)
"
							:上港集团(600018)董秘你好，公司声称为股东创造长期稳定回报，但是近几年市值管理毫无动作，分红力度平平，职工薪酬高企，请问如何平衡职工薪酬和分红的关系？
						","
							尊敬的投资者，您好。公司重视股东投资回报。一是，我们努力做强做优做大港口主业，致力于进一步提高自身竞争力，不断提升盈利能力和盈利水平，努力实现对投资者长期持续稳定的回报，保障股东的投资回报。二是，我们通过官网、邮箱、投资者热线、业绩说明会、上证E互动等多种渠道加强与投资者的沟通交流，有效传递公司发展价值。三是，自上市以来公司始终按照《公司章程》的有关规定，及时、足额向股东进行利润分配，保障股东权益。此外，职工薪酬方面，公司积极探索建立以公平为基础、效率为导向、岗位为核心、绩效为依据的富有竞争力的激励型薪酬分配机制。公司根据国家法律法规制定了相关薪酬管理制度，公司严格执行国家有关劳动人事的法律法规，规范实施公司薪酬福利的分配和支付。 感谢您对公司的关注。
						",2023年06月05日 09:39,2023年06月08日 16:19,上港集团,(600018)
"
							:上港集团(600018)您好！公司分红方案看起来符合规定。但是，我们也查阅了其它上市公司的利润分配方案，多数是依照合并报表归属于母公司的净利润为基数，确定分红方案。例如青岛港2022年分红方案“当年可用于分配利润计算口径为按中国会计准则编制的合并财务报表中归属于母公司的净利润扣减累计亏损弥补额、母子公司计提的法定公积金及必要的其他储备金额等”。那么上港集团的净利润分配基数就是年报第144页的数“17,223,915,520.79 ”。请解释？
						","
							尊敬的投资者，您好。根据《上海证券交易所股票上市规则》“5.3.2 上市公司制定利润分配方案时，应当以母公司报表中可供分配利润为依据”。公司2022年度利润分配方案以经审计的母公司财务报表数为基准，2022年度，公司母公司实现净利润为人民币7,230,118,307.20元。根据《公司章程》的有关规定，提取法定公积金10%后的可分配利润为人民币6,507,106,476.48元。感谢您对公司的关注。
						",2023年05月29日 15:06,2023年05月31日 14:11,上港集团,(600018)
"
							:上港集团(600018)我们认真阅读了公司2022年年报，第6页,归属于上市公司股东的净利润：17,223,915,520.79元，约等于172.24亿元，每股收益0.7423元。根据22年资产负债表，22年净利润提取了法定公积和任意盈余公积共22.25亿，给少数股东分配8.25亿，上港集团近年来未有亏损无需弥补亏损，所以，剩余的净利润141.74亿为视可供股东分配的利润，那么22年分红32.6亿占可分配利润比率是23%。哪有分红率超过50%？
						","
							尊敬的投资者，您好。根据《上海证券交易所股票上市规则》“5.3.2 上市公司制定利润分配方案时，应当以母公司报表中可供分配利润为依据”，公司利润分配方案以经审计的母公司可供分配利润为基准。公司于2023年4月4日披露了2022年年度利润分配方案公告， 具体分配方案内容敬请查阅公告内容。感谢您对公司的关注。
						",2023年05月26日 16:33,2023年05月29日 10:28,上港集团,(600018)
"
							:上港集团(600018)你好，公司说自己已分红的金额达到“可分配利润的50%”，请问公共如何定义“可分配利润”？且既然是可分配利润，那公司为何每年都只分50%，是因为实际支付能力仅有50%吗？公司股价常年市盈率在10以下，市净率徘徊在1左右……公司怎么看待这与分红能力之间的关系。谢谢！
						","
							尊敬的投资者，您好。一是，根据《上海证券交易所股票上市规则》“5.3.2 上市公司制定利润分配方案时，应当以母公司报表中可供分配利润为依据”，公司利润分配方案以经审计的母公司可供分配利润为基准。二是，“可分配利润”，根据《公司法》167条规定，公司弥补亏损和提取公积金后所余税后利润，股份有限公司按照股东持有的股份比例分配。三是，公司每年的分红方案依据《公司章程》，同时考虑股东利益、公司财务状况、经营策略，包括扩大生产、对外投资，以及应对不确定的风险和机遇等的资金需求。四是，公司的市盈率和市净率等指标并不能直接反映公司的分红能力，分红能力需要综合考虑公司的财务稳定性和经营策略等因素。感谢您对公司的关注。
						",2023年05月25日 09:12,2023年05月29日 10:14,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘，您好。请教个问题，2022年年报第17页中“主营业务分行业、分产品、分地区、分销售模式情况 ”显示营收合计为361.95亿，而同一页公布的公司营收为372.80亿，有十多亿的差别，统计前几年的年报中也有这样的现象，每年的差别都是十来亿，请问这是什么原因，中间差的十来亿是什么。
						","
							尊敬的投资者，您好。公司按照会计准则和监管要求披露财务数据。2022年，公司营业收入372.80亿元，包含主营业务收入及租金等其他业务收入。感谢您对公司的关注。
						",2023年05月23日 08:58,2023年05月24日 15:06,上港集团,(600018)
"
							:上港集团(600018)你好，公司负债率很低，营业现金流长期充沛，但是今年的股利支付率却仅有19%，且过去数年一直很低，作为一个现金流充沛的企业，公司为什么要留存大量现金却不分配呢？而资本市场上很多负债率和经营现金流水平选低于公司的国企股利支付率都可以达到30%以上，作为投资者请公司对此做个解释…谢谢！
						","
							尊敬的投资者，您好。公司利润分配方案以经审计的母公司财务报表数为基准，2022年年度利润分配方案合计拟派发现金红利总额超过公司2022年可分配利润的50%，符合《公司章程》中对于现金分红比例的要求。同时，利润分配方案统筹考虑了公司发展战略以及项目重大资金支出安排，并兼顾对投资者的合理回报和公司的可持续发展。公司也将不断提高自身竞争力，不断提升盈利能力和盈利水平，努力实现对投资者长期持续稳定的回报。感谢您对公司的关注。
						",2023年05月19日 08:28,2023年05月22日 13:41,上港集团,(600018)
"
							:上港集团(600018)董秘你好，关于22亿委托贷款利率2.3％，如果是公司的全资子公司，是否应该考虑市场化利率，如果不是全资子公司，是否利率折扣过多？是否损害股东利益？
						","
							尊敬的投资者，您好。公司年报中披露的单项委托贷款情况，是公司下属子公司按照股权比例，对包含公司在内的股东，按照同等条件来发放的委托贷款，不存在损害股东利益的情况。感谢您对公司的关注。
						",2023年05月09日 12:21,2023年05月10日 17:02,上港集团,(600018)
"
							:上港集团(600018)请问为什么不把贵司代码600018投放在海港主场LEB广告牌上，让更多人知道上港集团增加公司股票流动性，另外贵司上港集团四个字在海港主场显示的很小不醒目根本就看不清，一样投资足球就索性吧该利用起来的都用足，国企风格该改一改了
						","
							尊敬的投资者，感谢您的建议。
						",2023年05月08日 09:46,2023年05月10日 15:02,上港集团,(600018)
"
							:上港集团(600018)董秘你好，贵司其他应收款中计提了2.02亿的房地产包销款坏账，占比很大，作为股东感觉损失很痛心，请问后期管控此类坏账风险有何改进措施？
						","
							尊敬的投资者，您好。公司根据《企业会计准则》，结合公司实际情况制定了《营业收入管理办法》、《资产减值准备计提与财务核销管理办法》等制度，建立建全客户信用及应收款项管理机制，有效控制和降低坏账风险。感谢您对公司的关注。
						",2023年05月04日 12:41,2023年05月05日 16:34,上港集团,(600018)
"
							:上港集团(600018)你好，公司负债率很低，营业现金流长期充沛，但是为什么分红率却一直保持在30%以下的较低水平？谢谢！
						","
							尊敬的投资者，您好。公司利润分配方案以经审计的母公司财务报表数为基准，2022年年度利润分配方案合计拟派发现金红利总额超过公司2022年可分配利润的50%，符合《公司章程》中对于现金分红比例的要求。同时，利润分配方案统筹考虑了公司发展战略以及项目重大资金支出安排，并兼顾对投资者的合理回报和公司的可持续发展。公司也将致力于进一步提高自身竞争力，进一步提升盈利能力和盈利水平，努力实现对投资者长期持续稳定的回报。感谢您对公司的关注。
						",2023年04月25日 16:50,2023年04月26日 14:29,上港集团,(600018)
"
							:上港集团(600018)您好，请问贵司如何践行国家号召，促进国有资产保值增值。为何这一点点分红是否太抠了。是觉得贵司股价严重高估了吗，应该跌到三块比较合适？？
						","
							尊敬的投资者，您好。公司不断完善现代企业治理体系，不断深化体制机制改革，聚焦主业核心竞争力，以新发展理念统筹港口运营管理能力、综合服务能力，加快数智化转型，近年来，公司主业保持快速发展，经济运行质量稳步提升，促进国有资产保值增值。公司年度分红方案符合《公司章程》等有关分红政策的规定，同时，统筹考虑了发展战略以及项目重大资金支出安排，兼顾了对投资者的合理回报和公司的可持续发展。公司也将致力于进一步提高自身竞争力，进一步提升盈利能力和盈利水平，努力实现对投资者长期持续稳定的回报。感谢您对公司的关注。
						",2023年04月12日 10:08,2023年04月14日 16:22,上港集团,(600018)
"
							:上港集团(600018)上港集团目前有多少泊位？泊位停靠能力怎样？分布在哪些地方？
						","
							尊敬的投资者，您好。上海港集装箱码头主要分布在洋山、外高桥、吴淞三大港区，其中，洋山港区集装箱泊位超过二十个，可满足一万标准箱以上超大型集装箱船舶全天候满载进出港。感谢您对公司的关注。
						",2023年04月06日 09:14,2023年04月14日 16:12,上港集团,(600018)
"
							:上港集团(600018)公司不断盈利不断大手笔投资，请问如何善待中小股东？
						","
							尊敬的投资者，您好。公司的发展需要所有投资者的帮助和支持，在广大投资者的支持下，公司锐意进取，求真务实，实现了经营业绩、资产规模和市场竞争力的稳步提升。公司坚持规范运作，重视对股东权益、特别是中小股东权益的保护。公司致力于推进高质量发展，努力提升经营效益，保持公司利润的可持续增长，坚持发展企业、回报股东、回报社会的理念，并通过多种渠道不断加强与投资者的沟通交流。感谢您对公司的关注。
						",2023年04月04日 08:53,2023年04月14日 16:10,上港集团,(600018)
"
							:上港集团(600018)您好，请问何时公布年报和分红计划。建议公司以后多分红，才能改善公司资本市场形象树立价值投资典范，才能促进国有股权的升值增值，这才是正道，应该像其他优秀央企国企学习。
						","
							尊敬的投资者，您好。根据公司在上交所预约的年度报告披露时间，公司将于2023年4月4日对外披露公司2022年年度报告，并披露公司年度利润分配方案。感谢您对公司的建议和关注。
						",2023年03月29日 10:49,2023年03月30日 10:20,上港集团,(600018)
"
							:上港集团(600018)董秘您好，贵司定位世界第一大港口，请问有无改名计划，建议公司将证券简称改名为 中国上港，比上港集团更能体现公司的世界性港口定位。望转达。
						","
							尊敬的投资者，您好。感谢您对公司建议和关注。
						",2023年03月07日 10:39,2023年03月10日 16:59,上港集团,(600018)
"
							:上港集团(600018)你好！最近有消息称各大港口空箱率暴增，码头有的堆放六七层集装箱。请问贵公司目前业务量比往年如何？对今年业绩影响有多大？
						","
							尊敬的投资者，您好。公司月度和往年业务量情况披露于公司官网（www.portshanghai.com.cn）上，敬请查阅。感谢您对公司关注。
						",2023年03月01日 10:13,2023年03月10日 16:59,上港集团,(600018)
"
							:上港集团(600018)你好，严总提到2023年10项重点工作，其中第5推动传统主业向产业链两端延伸和第7深化国资国企改革的主要举措有哪些？谢谢
						","
							尊敬的投资者，您好。公司在推动传统主业向产业链两端延伸方面，将继续贯彻落实“长三角一体化”发展战略，加快新区域拓展，加速新业态培育。在深化国资国企改革方面，公司将按计划推进锦江航运分拆上市等工作。感谢您对公司的关注。
						",2023年02月06日 09:43,2023年02月07日 15:56,上港集团,(600018)
"
							:上港集团(600018)请问，罗泾港区集装箱码头改造一期已开始动工建设，估计何时可以完工投入运行？
						","
							尊敬的投资者，您好。上海港罗泾港区集装箱改造一期工程已于2022年12月开工建设，计划建设周期为一年。感谢您对公司的关注。
						",2023年02月06日 09:52,2023年02月07日 15:55,上港集团,(600018)
"
							:上港集团(600018)董秘先生好，咨询两个问题：1、公司在2023年，是否会探索地主港管理模式？2、公司在2023年，是否与贸易、金融互动发展，构建产业生态计划？
						","
							尊敬的投资者，您好。一是，地主港管理模式是港口管理当局发展当地港口设施的一种做法，欧美等国外港口大都采用这种模式；二是，“十四五”期间，公司将努力依托新科技，拓展新区域，致力于构建领先优势，发展新的服务业态，通过创新应用云平台、金融科技及5G等新技术赋能码头创新平台生态。感谢您对公司的关注。
						",2023年01月31日 16:10,2023年02月03日 16:32,上港集团,(600018)
"
							:上港集团(600018)董秘先生好，咨询两个问题：1、公司在2023年，是否会探索地主港管理模式？2、公司在2023年，是否会与贸易、金融互动发展，构建产业生态计划？
						","
							尊敬的投资者，您好。一是，地主港管理模式是港口管理当局发展当地港口设施的一种做法，欧美等国外港口大都采用这种模式；二是，“十四五”期间，公司将努力依托新科技，拓展新区域，致力于构建领先优势，发展新的服务业态，通过创新应用云平台、金融科技及5G等新技术赋能码头创新平台生态。感谢您对公司的关注。
						",2023年01月20日 11:31,2023年01月30日 08:35,上港集团,(600018)
"
							:上港集团(600018)董秘，您好！上海服务国家一带一路建设发挥桥头堡作用行动方案中，明确上港集团作为打造海上丝绸之路港航合作机制以及进一步拓展完善航线航班网络布局的责任部门，想请问一下公司目前在这两方面的推进进度！谢谢
						","
							尊敬的投资者，您好。公司持续提升港口智能化、自动化水平，包括自动化码头新设备设施的投入、传统码头智能化改造的持续推进等，助力码头产能升级，不断构筑“海丝桥头堡”服务优势。公司持续推进以色列海法新港项目，该项目是公司积极响应“一带一路”的标志性项目，2022年9月，以色列海法新港码头已顺利运行一周年。公司下属航运子公司持续拓展航运服务网络，不断提升公司互联互动服务能力。感谢您对上港集团的关注。
						",2023年01月13日 11:50,2023年01月17日 15:33,上港集团,(600018)
"
							:上港集团(600018)自从上港集团发布分拆上市以来，公司股票基本都是以下跌为主，请问上港集团股票分拆上市时间表什么时候公布？是否已经取消分拆上市计划？
						","
							尊敬的投资者，您好。公司目前正在积极推进分拆上市事宜，具体进展情况请以公司对外披露的公告为准。感谢您对公司的关注。
						",2022年12月15日 10:31,2022年12月21日 10:58,上港集团,(600018)
"
							:上港集团(600018)尊敬的董秘您好，我是上港中小股东，公司账上闲置资金多了，打算如何充分利用闲置资金。是否有继续增持上海银行的计划，该银行市净率0.41，分红率高于理财产品，比买理财强，源源不断的现金流。都是上海国资背景，应该没有什么风险吧。，因为最近这几天看到南京银行，江苏银行等，都被当地国资公司增持，还是在股价高位增持。好东西应该抢才对。请向上级反映认真考虑。谢谢。
						","
							尊敬的投资者，感谢您的建议和关注。
						",2022年11月23日 17:09,2022年12月13日 10:54,上港集团,(600018)
