字段1,字段2,字段3,字段4,文本,文本1
您好，尊敬的董秘。财政部发布关于在中国（上海）自由贸易试验区及临港新片区试点离岸贸易印花税优惠政策的通知，对注册登记在中国（上海）自由贸易试验区及临港新片区的企业开展离岸转手买卖业务书立的买卖合同，免征印花税。对于总部位于自贸区的益海嘉里金龙鱼有何促进？非常感谢。,您好！公司将积极关注相关政策。谢谢！,2024-2-22,2024-2-22,金龙鱼,[300999]
贵公司高管工资一年差不多5000万在A股属于头部，高管不持股对公司发展有些不友好。 可不可以考虑持股加工资平均一下。,您好！根据公司目前的股权分布情况，社会公众股比例约为10%，如果董事和高级管理人员增持公司股票可能会导致社会公众股比例低于10%，进而不符合上市条件。另外，公司已发布2022年限制性股票激励计划，激励对象包含公司董事及高级管理人员，目前还未进入归属阶段。谢谢！,2024-2-22,2024-2-22,金龙鱼,[300999]
您好，尊敬的董秘。2024年中国茶油消费兴起，请问益海嘉里金龙鱼在国内茶油产业有何布局？非常感谢。,您好！公司推出茶油产品多年。近年来消费者的健康意识不断提升，茶油因含有三萜烯醇、角鲨烯、多酚、维生素E等有益物质，逐渐受到消费者的欢迎。公司针对消费趋势的变化，推出了多款茶油产品供消费者选择。谢谢！,2024-2-22,2024-2-22,金龙鱼,[300999]
您好，尊敬的董秘。春节假期结束，食品饮料与餐饮服务行业同比增长迅速，金龙鱼作为国内最大食品集团，在春节期间保供应方面有何创新举措？非常感谢。,您好！公司在春节期间结合各平台的春节主题开展了一系列创新营销活动，例如谷维多稻米油围绕“齐乐龙龙过大年”主题，和京东超市开展了快闪活动，并与天猫品牌会员日进行了品牌联合营销等。谢谢！,2024-2-22,2024-2-22,金龙鱼,[300999]
"你好,胡姬花花生油这个品牌是否属于金龙鱼,营收是否算进金龙鱼里面",您好！胡姬花是公司旗下品牌，其销售收入属于公司营收范围。谢谢！,2024-2-19,2024-2-19,金龙鱼,[300999]
请问截止2月8日收盘公司的股东人数是多少？谢谢,"您好！截至2024年2月8日公司股东共计147,252户。谢谢！",2024-2-19,2024-2-19,金龙鱼,[300999]
董秘你好，请问截止到2024年2月8日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2024年2月8日公司股东共计147,252户。谢谢！",2024-2-19,2024-2-19,金龙鱼,[300999]
贵公司2023年四季度经营利润是否有较大改善？,您好！关于公司2023年第四季度经营情况，请关注公司后续发布的业绩报告。谢谢！,2024-2-18,2024-2-18,金龙鱼,[300999]
最近粮食价格暴跌对公司影响是否是正面的？,您好！关于这方面的情况，公司目前没有需要公开披露的信息。谢谢！,2024-2-18,2024-2-18,金龙鱼,[300999]
希望做好品牌管理，加大宣传力度，提高高端比例，提高公司美誉度。现在金龙鱼只有知名度，没有美誉度，在一众粮油产品中，消费者没有特别吸引力去选择金龙鱼。,感谢您的关注和建议！多年来，公司建立了覆盖高端、中端、大众的综合品牌矩阵，在众多细分市场均保持领先的市场地位。公司针对消费趋势的变化，通过线上线下营销活动，根据不同的产品特性进行针对性输出与推广，提升产品口碑。同时，公司利用研发及技术优势不断推出新品，使品牌营销和产品推广相辅相成，在通过成熟品牌推广创新产品的同时，优质创新产品也在一定程度上提升了品牌的知名度和美誉度。我们将一如既往做好各项经营工作，充分利用公司的自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，进而提升公司的竞争力。谢谢！,2024-2-18,2024-2-18,金龙鱼,[300999]
贵公司募资139.33亿上市，现在这部分钱用到了什么地方？有什么成果？,您好！公司会在年报、半年报、募集资金存放与使用情况专项报告以及其他与募投项目相关的临时公告中披露募集资金使用情况。关于最新的情况，请关注公司将于3月22日收市后发布的2023年年报。谢谢！,2024-2-18,2024-2-18,金龙鱼,[300999]
公司上市以后净利润连年下降，股价更是跌得猛烈，最近各上市公司都在积极行动以提振投资者信心，那么公司将有何举措？公司高管团队会增持公司股票吗？,您好！我们将一如既往做好各项经营工作，充分利用公司的自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，进而提升公司的竞争力。我们十分看好中国食品市场的前景，对公司长远发展充满信心。关于其他方面的情况，公司目前没有需要公开披露的信息。谢谢！,2024-2-8,2024-2-8,金龙鱼,[300999]
贵公司的油品从消费者的眼光来看跟别的公司油品没有区别，那公司的研发起什么作用？,您好！公司研发中心围绕粮油技术与产品研发、新产品及技术咨询、产品技术服务、科技合作与交流、粮油食品专业人才培育的五项中心工作，在烹饪油脂、专用油脂、谷物、食品、油脂科技等领域进行创新研发，致力于改善粮油食品加工技术和产品质量，努力开发绿色和白色生物技术，引领先进消费理念，支持更健康生活。同时，研发中心也专注于为粮油企业提供转型升级的解决方案，以达到不断优化资源、减少能源消耗、环境友好的可持续发展目标。谢谢！,2024-2-6,2024-2-6,金龙鱼,[300999]
贵公司从什么方面建立产品优势的？,您好！公司拥有遍布全国的生产及销售网络、综合性企业群的模式、良好的品牌形象、研发优势以及循环经济产业模式等，同时，我们持续加大对产品的推广，做好原材料采购管理以及加工成本、物流成本、销售成本控制，并不断地布局与现有业务互补的新业务，为消费者提供安全、营养、健康、美味的优质食品，进而提升公司产品的知名度和竞争力。谢谢！,2024-2-6,2024-2-6,金龙鱼,[300999]
贵公司的油品从哪方面建立竞争优势的，只是成本端么？,您好！公司是国内最大的包装食用油供应商，拥有遍布全国的生产及销售网络、综合性企业群的模式、良好的品牌形象、研发优势以及循环经济产业模式等。同时，我们能够一站式地为客户提供丰富厨房食品产品，可以增强客户粘性。基于消费升级以及消费者的健康意识不断提升，未来将持续推广现有的高端产品及推出更多安全、营养、健康、美味的优质食品，进而提升公司产品的知名度和竞争力。谢谢！,2024-2-6,2024-2-6,金龙鱼,[300999]
贵公司油品从什么方向建立低、中、高端产品的？贵公司的品牌多，但是作为一个消费者感觉贵公司没有中端、高端产品。,您好！公司推出了众多高端产品，如金龙鱼轻怡中长链脂肪酸（MLCT）食用油、富含谷维素和植物甾醇的稻米油、“零反式脂肪”系列食用油、高多酚初榨橄榄油、胡姬花花生油、鲤鱼菜油、King’s亚麻籽油等。谢谢！,2024-2-6,2024-2-6,金龙鱼,[300999]
贵公司是根据什么策略让消费者选择贵公司的产品，毕竟消费者眼光来看并没有什么区别。,您好！经过多年的发展，公司已经形成多品牌、多品类的产品及品牌组合，获得了众多消费者的广泛认可。同时，消费者的饮食习惯也处于持续变化之中，公司快速响应并不断创新以满足市场需求，为消费者提供更多安全、营养、健康、美味且丰富的产品。谢谢！,2024-2-6,2024-2-6,金龙鱼,[300999]
希望贵公司今年可以分股。,您好！公司会综合考虑公司的长远利益、全体股东的整体利益及公司的可持续发展等因素，并依据公司章程与有关规定来决定相关事宜。谢谢！,2024-2-5,2024-2-5,金龙鱼,[300999]
董秘你好，请问截止到2024年1月31日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2024年1月31日公司股东共计148,651户。谢谢！",2024-2-2,2024-2-2,金龙鱼,[300999]
公司现金充沛，是否有回购注销的计划？,您好！根据公司目前的股权分布情况，社会公众股比例约为10%，如果回购股票可能会导致社会公众股比例低于10%，进而不符合上市条件。所以，在社会公众股比例没有提高的情况下，公司无法回购股票。谢谢！,2024-1-31,2024-1-31,金龙鱼,[300999]
贵公司的油品会不会升级？毕竟大多数消费者并不知晓那个年龄段应该吃什么油，还有哪些儿童发育吃什么好？青少年高考用食用什么油比较好。,您好！多年来，公司的食用油产品在持续创新升级，从脂肪酸种类更均衡的调和油，到富含谷维素、植物甾醇的稻米油，再到0反式脂肪酸系列的食用油、中长链脂肪酸（MLCT）油等，不断满足大家不同的营养需求。由于消费者具有个体差异，即使是相同年龄阶段的消费者对于营养的需求也是不同的。从营养角度考虑，建议大家在了解自身健康情况的前提下，在不同的油种之间轮换着吃或者选择调和油，以满足人体对不同类型脂肪酸的需求，同时也可以获取到不同油中的油脂伴随物。谢谢！,2024-1-31,2024-1-31,金龙鱼,[300999]
廊坊的中央厨房进展如何了? 产品的销售方向主要是哪些?也会考虑与各大便利店合作销售便当食品吗?,您好！公司廊坊央厨目前主要为盒马、叮咚等平台生产常温米饭产品，项目进展良好。会根据市场需求等情况决定产品销售事宜。谢谢！,2024-1-30,2024-1-30,金龙鱼,[300999]
您好，尊敬的董秘。金龙鱼广东省阳江市调味品工厂近期是否已经投产铺货？非常感谢。,您好！公司阳江调味品项目已产出产品并开始销售。谢谢！,2024-1-30,2024-1-30,金龙鱼,[300999]
贵公司有无针对减肥人士研发产品？有无这方面专利？,您好！公司根据消费者需求，推出了众多安全、营养、健康、美味的产品。例如，金龙鱼轻怡中长链脂肪酸（MLCT）食用油的产业链，针对此类人群，也拥有部分功用性的发明专利。谢谢！,2024-1-30,2024-1-30,金龙鱼,[300999]
目前贵公司油品有没有专门针对儿童、青年，老年人，不同的年龄段来研发？,您好！公司丰富的食用油产品可以满足各年龄段消费者的不同需求。例如公司King＇s核桃油，King＇s亚麻籽油，谷维多稻米油等，富含多种营养素；金山茶山茶油、金龙鱼玉米胚芽油等，含有丰富的不饱和脂肪酸；金龙鱼“零反式脂肪”系列食用油不含反式脂肪。不同年龄段的消费者可根据自身营养需求进行选购。谢谢！,2024-1-30,2024-1-30,金龙鱼,[300999]
您好，尊敬的董秘。随着《浦东新区综合改革试点实施方案（2023—2027年）》推出，作为一家具有新加坡外资的A上市公司，且总部位于浦东新区的公司，有何长足促进发展？非常感谢。,您好！关于这方面的情况，公司目前没有需要公开披露的信息。谢谢！,2024-1-25,2024-1-25,金龙鱼,[300999]
贵公司的预制菜销售情况如何，销售渠道主要是线上还是线下？占公司总体营收的比例是多少？在商超基本没看到贵公司的预制菜产品，有没有针对性的推广计划？,您好！预制菜是公司央厨项目产品中的一部分，目前占公司总体营收比例很小。公司央厨产品目前以供应B端客户为主，面向C端消费者目前推出了红烧狮子头、锅烧肉、丰厨家宴礼盒、无菌米饭等预制菜产品，部分产品可以在山姆等渠道购买。同时，消费者也可以在部分十足、7-11便利店购买公司便当产品。未来我们会持续推出更多面向终端消费者的产品。关于渠道销售和推广计划等，公司目前没有需要公开披露的信息。谢谢！,2024-1-25,2024-1-25,金龙鱼,[300999]
请问贵公司有没有计划社区餐厅为老年人生产便利餐的计划？,您好！公司央厨已经逐步向社区提供产品。谢谢！,2024-1-23,2024-1-23,金龙鱼,[300999]
贵公司的油品现在有没有利乐包装？,您好！公司油类产品没有使用利乐包装。谢谢！,2024-1-23,2024-1-23,金龙鱼,[300999]
董秘你好，请问截止到2024年1月19日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2024年1月19日公司股东共计150,882户。谢谢！",2024-1-23,2024-1-23,金龙鱼,[300999]
建议贵公司设计方便面油包那样一次性用油，用纸盒包装，最好里面装把剪刀，这样就可以每天用不同的油品，干净卫生方便。,感谢您的关注和建议！,2024-1-23,2024-1-23,金龙鱼,[300999]
金龙鱼能够将产品卖向国际，走向国际进行竞争海外市场，管理层有没有这个计划吗？,您好！目前公司主要专注于中国境内市场，境外的销售收入占比很小。谢谢！,2024-1-23,2024-1-23,金龙鱼,[300999]
您好，尊敬的董秘。从最近起诉书看，应该与金龙鱼公司无关，但金龙鱼需要进行公司内部反腐治理，特别需要整顿公司高级管理层贪污受贿的监管，非常感谢。,感谢您的关注和建议！,2024-1-23,2024-1-23,金龙鱼,[300999]
贵公司有细分油品么？比如烧烤油，油泼面油，花椒油，火锅油等。,您好！公司有推出烧烤油、油辣子用油、花椒油等细分产品。谢谢！,2024-1-23,2024-1-23,金龙鱼,[300999]
贵公司研发团队都是针对那些方向？,您好！公司研发中心主要聚焦烹饪油脂、专用油脂、谷物及全产业链等领域进行创新研发，致力于改善粮油食品加工技术和产品质量，开发绿色和白色生物技术，推广先进消费理念，支持更健康生活。谢谢！,2024-1-23,2024-1-23,金龙鱼,[300999]
目前贵公司的丰厨总掌舵人是？,您好！央厨作为公司重要的新项目之一，由管理层牵头，并组建了专门的事业部进行项目推进。谢谢！,2024-1-17,2024-1-17,金龙鱼,[300999]
贵公司榨干油的豆粕有没有给人吃的高毛利率产品，或者专利？,您好！我们有用非转基因大豆加工的食品级豆粕产品，该产品可以用于酱油行业和大豆蛋白提取深加工产业。我们用食品级非转豆粕原料深度加工的大豆蛋白系列产品是有专利的。谢谢！,2024-1-17,2024-1-17,金龙鱼,[300999]
因为贵公司大股东丰益营销（香港）有限公司持股比例89.99%太高，目前锁定一年，锁定期完毕后续是引进国资还是通过二级市场减持？,您好！公司控股股东目前没有减持计划。谢谢！,2024-1-17,2024-1-17,金龙鱼,[300999]
董秘你好，公告中广州益海子公司被起诉，是否对上市公司有影响。如果在案件中广州益海要承担连带责任，被罚款几十亿以上的话。对上市公司实际经营是否有影响。,您好！因相关诉讼事项尚未开庭审理且公司不认同起诉书指控的事实，在诉讼审结之前，暂无法判断对公司的影响。公司将持续关注上述相关事项的后续进展情况，及时履行信息披露义务。谢谢！,2024-1-17,2024-1-17,金龙鱼,[300999]
贵公司对于未来里面持有乐观态度么？,您好！我们十分看好中国食品市场的前景，公司拥有遍布全国的生产及销售网络、综合性企业群的模式、良好的品牌形象以及研发优势等，我们对公司长远发展充满信心。谢谢！,2024-1-17,2024-1-17,金龙鱼,[300999]
目前参与丰厨项目的优秀企业有哪些？,您好！目前公司央厨项目已经与一些肉类、蔬菜、海鲜等企业建立合作关系。谢谢！,2024-1-17,2024-1-17,金龙鱼,[300999]
董秘你好，金龙鱼上市这么长时间了，公司的股价只跌不涨。好像跟公司的业绩没有多大关系吧，2023年的业绩这么好，现在都快跌到发行价格了。公司大股东有打算卖掉股份保壳吗。建议把股份卖给科技公司，公司所谓的预制菜的故事对公司的业绩没有多大的帮助。,您好！关于公司2023年度业绩情况，请关注公司后续发布的业绩报告。公司控股股东目前没有减持计划。谢谢！,2024-1-12,2024-1-12,金龙鱼,[300999]
董秘你好，请问截止到2024年1月10日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2024年1月10日公司股东共计150,994户。谢谢！",2024-1-12,2024-1-12,金龙鱼,[300999]
请问董秘，金龙鱼的业务是仅限于国内吗？国外有没有金龙鱼的销售业务和网点？,您好！目前公司主要专注于中国境内市场，境外的销售收入占比很小。谢谢！,2024-1-12,2024-1-12,金龙鱼,[300999]
请问:一、公司产品使用的是转基因原料还是非转基因原料？二、公司主打产品除了食用油之外，还有其他哪些产品？且又如何提高这些产品的知名度和竞争力？三、公司有哪些预制菜类产品？目前该业务进展情况如何？四、2023年报业绩预告什么时候公布？以上烦请逐一详实回复，谢谢！,您好！1.公司是国内最大的包装食用油供应商，也是国内最大的非转基因包装油供应商，向市场供应包括调和油，菜油，豆油，玉米油，葵花油，花生油，山茶油，橄榄油，稻米油等多品种非转基因原料的食用油。同时，由于国内大豆等油料作物产量无法满足行业需求，因此进口转基因大豆被较多企业应用于压榨行业，公司也使用了部分进口转基因大豆进行压榨。 2. 公司是国内最大的农产品和食品加工企业之一，公司的主要产品包括厨房食品、饲料原料及油脂科技产品。产品涵盖食用油、大米、面粉及挂面、调味品、食品原辅料等家庭及工业用厨房食品；豆粕、麸皮、米糠粕等饲料原料；以棕榈油等油脂为原料生产的油脂基础化学品、油脂衍生化学品、营养品、日化用品等油脂科技产品。我们会充分利用公司的自身优势，如遍布全国的生产及销售网络、综合性企业群的模式、良好的品牌形象以及研发优势等，持续加大对产品的推广，同时做好原材料采购管理以及加工成本、物流成本、销售成本控制，积极布局与现有业务互补的新业务，持续为消费者提供安全、营养、健康、美味的优质食品，进而提升公司产品的知名度和竞争力。 3. 公司央厨项目的产品包括学生餐、餐食便当、预制菜、酱料等。其中，面向C端消费者目前推出了红烧狮子头、锅烧肉、丰厨家宴礼盒、无菌米饭等预制菜产品。公司的央厨项目依托现有生产基地，建立综合性的食品生产园区。在食品生产园区内，公司可以自己加工中央厨房产品，也可以引进其他产业链上下游的相关企业，在园区实现产品仓储、实验研发、物流运输、销售渠道等资源共享，协调发展，进一步降低生产、物流及营销成本。公司央厨项目起步不久，项目进展良好。 4.公司预计于3月23日发布2023年度报告（以最终具体公告日期为准）。公司按照有关法规规定的条件及要求来决定是否进行业绩预告。谢谢！,2024-1-8,2024-1-8,金龙鱼,[300999]
董秘你好，请问截止到2023年12月29日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2023年12月29日公司股东共计150,943户。谢谢！",2024-1-3,2024-1-3,金龙鱼,[300999]
董秘，您好！我观察到最近金龙鱼推出很多新业务：鲜米、山茶油、央厨、调味品、火锅料、牛奶、甜菜糖、蛋鸡养殖等等。每个新业务都需要初期投入，都有爬坡期，都会分散公司的管理精力。请问：1、金龙鱼内部是如何划分这些新业务的，在内部的权重是怎么样的，给他们的期望是什么？是仅仅赚点钱呢还是有更多的考量？2、这些新业务大概什么时候可以盈利？3、这些新业务对当期财报的利润大概有多少消耗？,您好！我们聚焦于农产品和食品有关的业务，所有新业务都与我们现有业务具有协同效应和互补性。我们现有业务的盈利能力能使我们持续开发新产品。我们相信我们拥有的人才和优势会成功开发新产品，当我们新业务取得成功时，我们将拥有非常具有竞争力的商业模式去生产和销售我们的各类产品。谢谢！,2024-1-3,2024-1-3,金龙鱼,[300999]
丰益营销（香港）有限公司持股占总股本的89.99%，为什么要占这么高？担心股权失控？,您好！公司控股股东对公司未来发展前景充满信心，高度认可公司价值。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
请问贵司中央厨房业务进展如何？是不是可利用品牌和渠道优势能发力其他高利率产业？期待贵司业绩更上一层楼，以更好的业绩回报投资者。,您好！公司央厨项目处于业务初期，项目进展良好。我们将一如既往做好各项经营工作，充分利用公司的自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，进而提升公司的竞争力。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
益海嘉里旗下有金龙鱼、香满园、胡姬花在内的众多食用油品牌，有没有使用美国绝育种子种植的粮食？,您好！公司严格按照国家相关法律法规进行原料采购用于油脂加工。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
您好，尊敬的董秘。金龙鱼旗下的纽麦福牛奶目前在山姆、盒马、华润等商超发售。随着疫情散去，建议开展购纽麦福活动，比如纽麦福奶源地探索之旅，让更多消费者知晓纽麦福的品质，非常感谢。,感谢您的建议，会转给公司相关部门。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
您好，尊敬的董秘。腾讯最近推出一款游戏为《元梦之星》里面很多场景适合金龙鱼的旗下年轻化品牌推广，相信会有不错的效果。非常感谢。,感谢您的建议，会转给公司相关部门。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
您好，阳西调味品一期已经投入运营，但从网上来看产值和销售收入有两个数据，请问董秘能否正式告知一下大家已经投产的部分一年的产能和销售收入预计是多少？另外，从我们考虑调味品是高毛利率业务，金龙鱼与友商竞争可以低毛利率打高毛利率，有竞争优势，相对于央厨业务又有运营的确定性，请问公司以后对调味品是怎么考虑的？,您好！公司广东阳江项目酱油的年产能是8万吨，关于销售收入，目前没有需要公开披露的信息。公司现有的米面油业务平台是个很好的载体，可以帮助推广调味品，使调味品与其他厨房食品的业务互相促进，努力形成更强的竞争能力。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
您好！我们关注到重厨引入了新的控股方，金龙鱼不再控股，请问是否可以看着是金龙鱼在中央厨房上战略进行再调整？中央厨房业务集团投入中金，业务也开展了很多年，公司的公开财报从来没有单独反映这一块的收入情况，是不是因为数据不好看？,您好！公司的重庆央厨项目（主要是火锅底料等产品）引入了所在区域有竞争力的合作方作为合资公司股东，尽管如此，公司仍为这家公司的第二大股东。引入合资方更有利于公司中央厨房业务的区域发展，增加同合作方在当地的协同优势，增强公司的竞争力。本次调整不会影响我们发展中央厨房的战略规划。关于数据披露，公司在定期报告中披露的是厨房食品和饲料原料及油脂科技两大板块的相关数据，暂未披露细分板块的情况，目前央厨在公司整体的营收中占比很小。谢谢！,2023-12-26,2023-12-26,金龙鱼,[300999]
国家队的“基本养老保险基金八零二组合”“全国社保基金一一三组合”2022年三、四季度投资金龙鱼，2023年三季度都退出，均折戟在金龙鱼，此事怎么看？,您好！股票交易为投资者自主交易行为，公司尊重所有投资者基于自身情况做出的价值判断与投资决策。我们将一如既往做好各项经营工作，充分利用公司的自身优势，持续为消费者提供安全、营养、健康、美味的优质食品，进而提升公司的竞争力。谢谢！,2023-12-25,2023-12-25,金龙鱼,[300999]
四大粮商之一的美国ADM与益海嘉里是不是有合作关系？如有，在中美关系如此微妙时刻，金龙鱼是否会与之脱钩断链？,您好！ADM为全球重要的大豆等农产品供应商之一，公司有向ADM采购进口大豆。谢谢！,2023-12-25,2023-12-25,金龙鱼,[300999]
您好，尊敬的董秘。金龙鱼旗下糖业工厂目前产能如何？目前南半球新榨季已接近尾声，产量与去年基本持平，甚至略有下降；北半球甘蔗糖厂压榨即将开始，国内食糖仍处于紧平衡状态。从需求方面来看，食糖是刚需产品，每年需求量有1%-1.5%的天然增长。因此，总体预计明年仍存在供需缺口，糖价大概率维持高位。,您好！公司有生产甜菜糖，关于产能情况，公司目前没有需要公开披露的信息。谢谢！,2023-12-25,2023-12-25,金龙鱼,[300999]
董秘你好，请问截止到2023年12月20日，贵公司股东户数是多少？谢谢啦！！！,"您好！截至2023年12月20日公司股东共计151,186户。谢谢！",2023-12-25,2023-12-25,金龙鱼,[300999]
12月15日，证监会发布《上市公司监管指引第3号——上市公司现金分红》（以下简称《现金分红指引》），以及《关于修改＜上市公司章程指引＞的决定》（以下简称《章程指引》），自公布之日起施行。沪深证券交易所同步修改完善规范运作指引，明确操作性要求。请问金龙鱼对企业中期分红是否有积极措施,您好！公司会综合考虑公司的长远利益、全体股东的整体利益及公司的可持续发展等因素，并依据公司章程与有关规定来决定分红事宜。谢谢！,2023-12-20,2023-12-20,金龙鱼,[300999]
