字段1,字段2,字段3,字段4,文本,文本1
请问贵公司大模型的进度是怎么样的？什么时候可以运用起来？会有什么突破？,尊敬的投资者：您好，感谢您对公司的关注和支持。东方财富自主研发的妙想金融大模型已于近日进入内测阶段。,2024-1-12,2024-1-12,东方财富,[300059]
公司现在的大模型什么时候上线?,尊敬的投资者：您好，感谢关注。东方财富自主研发的妙想金融大模型已于近日进入内测阶段。,2024-1-12,2024-1-12,东方财富,[300059]
"贵公司席位经常上龙虎榜,想问流量那么大,有没有考虑跨界去搞直播带货,毕竟贵公司有天然的优势",尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-12-27,2023-12-27,东方财富,[300059]
请问董秘：1、预计公司AI大模型何时能推广使用？2、请介绍下公司AI大模型。3、公司目前研发方向是什么？,尊敬的投资者：您好，感谢关注。公司聚焦金融科技创新，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。公司始终坚持以用户需求为中心，持续加大研发投入力度，重点加强AI能力建设，在自然语言处理、图像识别、AIGC等方面取得了较大进展，不断提升科技赋能水平，进一步满足用户需求，优化完善一站式互联网财富管理生态圈。,2023-12-27,2023-12-27,东方财富,[300059]
 董秘您好，东方财富作为创业板权重，已经深度捆绑了创业板指数，现在公司既然有回购计划，为什么不考虑回购注销，成为第一家回购注销的带头公司作为榜样表率，也能让股民看见管理层倡导价值投资的决心，稳住股价，也能稳住创业板，希望公司管理层可以采纳。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-12-27,2023-12-27,东方财富,[300059]
公司网站个股K线显示分时图，经常出现错误，出现前几日的k线。建议排查修复。,尊敬的投资者：您好，感谢您对公司的关注和反馈。您的反馈已转达相关部门。如果方便，建议您通过投资者热线021-54660526或者董秘邮箱dongmi@eastmoney.com留下联系方式，公司会安排相关工作人员及时联系您，进一步了解、核实您反馈的问题。,2023-12-27,2023-12-27,东方财富,[300059]
請問，數據資產入表對公司未來經營業績的影響？謝謝。,尊敬的投资者：您好，公司将按照会计准则的相关规定编制财务报表。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
请问董秘：1、国家鼓励支持头部券商发展，公司有何规划？2、金融强国，公司如何积极参与？3、面对国内低迷的市场行情公司如何化解与应对？发何危中寻机？4、国外行情火爆，公司是否有拓展业务或计划？5、公司是否有与国外投行或公司合作计划进一步做强公司？,尊敬的投资者：您好，公司将积极融入资本市场高质量发展大局，深耕主业、做精专业，不断提升产品体验与服务水平，建设更加完善的互联网财富管理生态圈。如有需要披露的信息，公司将及时履行信息披露义务。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
请问董秘：1、公司5-10亿增持彰显责任与担当，是否有计划鼓励董高监督增持？2、董事长夫人21亿购入万达，是否看好公司股票，参与增持？3、公司非公开向特定对象发债250亿，是否有合适对象积极参与？4、公司如何加强市值管理，真正体现公司价值回归？,尊敬的投资者：您好，感谢您对公司的关注和建议。公司始终围绕整体战略目标，坚持以用户需求为中心，为用户创造更多价值，深耕主业、做精专业，不断提升产品体验与服务水平，建设更加完善的财富管理生态圈。本次子公司东方财富证券相关公司债券发行方案最终能否获得相关部门审核通过或核准尚存在不确定性。,2023-12-27,2023-12-27,东方财富,[300059]
请问董秘：公司公告称计划向“专业投资者”发债250亿，是否已有募资对象？能否顺利完成？利率如何？预计对公司的发展影响？,尊敬的投资者：您好，本次子公司东方财富证券相关公司债券发行方案最终能否获得相关部门审核通过或核准尚存在不确定性。详情敬请查阅2023年12月16日披露的相关公告。感谢您对公司的关注。,2023-12-27,2023-12-27,东方财富,[300059]
最近贵公司持续在进行折价20%大宗交易，为什么？,尊敬的投资者：您好，公司有关注到市场投资者开展的大宗交易。,2023-12-27,2023-12-27,东方财富,[300059]
请问董秘：1、公司AI大模型备案进展？2、公司向特定对象发债250亿目的意义？3、国家提出金融强国，公司如何定位？3、公司计划5--10亿元回购，彰显自信责任与担当，是否在继续进行？4、公司有无引入优势资源计划？5、公司如何提升自身向头部券商进军？6、公司如何提升市场占有率？7、公司的核心竞争力？,尊敬的投资者：您好，公司围绕整体战略目标，坚持以用户需求为中心，为用户创造更多价值，不断增强核心业务能力，推进和完善互联网财富管理生态圈建设，持续优化用户体验，提升公司整体服务能力和水平。公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。子公司东方财富证券申请发行公司债券有利于拓宽东方财富证券融资渠道，优化债务结构，降低财务成本，促进公司证券业务稳步健康发展。公司相关股票回购进展情况，已在深圳证券交易所网站和符合中国证监会规定条件的信息披露媒体进行了披露。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
請問，公司研發的金融大模型產品是否已經完成備案？何時能夠推出？謝謝。,尊敬的投资者：您好，公司聚焦金融科技创新，持续加大AI研发技术投入，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
公司董秘你好公司可否增加回购注销股份的方式来维护公司合理估值，同时合理分红,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-12-27,2023-12-27,东方财富,[300059]
大模型备案什么时候可以发行,尊敬的投资者：您好，感谢关注。公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。,2023-12-27,2023-12-27,东方财富,[300059]
请问最新的股东人数是多少,尊敬的投资者：您好！公司在定期报告中披露公司季度末、半年度末以及年度末的股东人数，感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
证监会关于新的基金交易佣金份额调整，对公司是利好还是利空？,尊敬的投资者：您好，感谢关注。公司会紧密跟踪行业政策变化，立足自身战略定位，以用户需求为中心，不断推进和完善互联网财富管理生态圈建设，持续提升用户体验，积极探索精细化、差异化、专业化发展之路，为用户提供稳定高效优质的服务，努力实现公司可持续健康发展。,2023-12-27,2023-12-27,东方财富,[300059]
請問，公司研發的金融大模型是否已經正式命名？謝謝。,尊敬的投资者：您好，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。公司将持续优化产品和服务，不断地进行自我更新迭代，保持产品及服务生命力和竞争力，持续构建和完善人与财富的金融生态圈，为用户创造更多价值。,2023-12-27,2023-12-27,东方财富,[300059]
請問公司是否真的重視人工智能的行業發展，面對金融大模型研發進度明顯落後友商的現實公司有何對策？謝謝！,尊敬的投资者：您好，公司目前正在重点推进金融领域大模型的研发和应用，公司将积极拥抱AI，持续提升AI技术能力，通过强大金融科技能力为用户创造价值。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
請問公司備案的金融大模型名稱是什麼？謝謝。,尊敬的投资者：您好，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
請問公司大模型產品何是否完成備案？公司計劃何時推出？謝謝。,尊敬的投资者：您好，感谢您对公司的关注。公司聚焦金融科技创新，持续加大AI研发技术投入，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。,2023-12-27,2023-12-27,东方财富,[300059]
我想问一问题，东方财富今年分红的情况，请回答。,尊敬的投资者：您好，公司会综合考虑2023年度业绩及未来发展规划等因素，制定2023年度权益分派预案，感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
贵司是否在北交所上有所布局,尊敬的投资者：您好，目前公司终端产品已全面支持查看北交所行情。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
新下载了电脑版大智慧界面太难看了吧，还伤眼，尤其那集合竞价图，竟然像粗糙游戏界面的搞笑，怪不得没人爱用，在这不能直接向大智慧（601519）提问，能不能帮忙转达给对方一下让他们改善一下，谢谢,尊敬的投资者：您好，感谢您对公司的关注，您可登录上交所e互动平台与对方进行沟通。,2023-12-27,2023-12-27,东方财富,[300059]
国企头部券商由于都是同一控股股东，可以兼并重组做大做强，咱民营头部券商，可以引进外资国际化大券商，实现国际化，打造一流航母投行。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-12-27,2023-12-27,东方财富,[300059]
你好，请问一下，“代理买卖证券款”是受到绝对限制的吗？公司有权将其买入活期理财吗？,尊敬的投资者：您好！“代理买卖证券款”期末余额反映企业接受客户存放的代理买卖证券资金，上述资金不能作为其他用途。感谢关注。,2023-12-27,2023-12-27,东方财富,[300059]
请问公司回购了多少了,"尊敬的投资者：您好！截至2023年11月30日，公司已累计回购股份32,427,848股，占公司总股本的0.20%，已使用资金总额为49,571.15万元（不含交易费用）。",2023-12-27,2023-12-27,东方财富,[300059]
请问董秘，贵司的金融领域大模型研发进展情况？谢谢回答。,尊敬的投资者：您好，感谢关注。公司聚焦金融科技创新，持续加大AI研发技术投入，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。,2023-12-27,2023-12-27,东方财富,[300059]
公司属于一流的互联网金融公司，有没有进一步扩大企业营业范围，增加收购并购，做大做强，再创辉煌！！！！,尊敬的投资者：您好，如有需要披露的信息，公司将及时履行信息披露义务，感谢关注。,2023-11-21,2023-11-21,东方财富,[300059]
当前监管层正在鼓励券商合并，东财目前有这方面的意向没？,尊敬的投资者：感谢关注。公司暂无相关计划。,2023-11-21,2023-11-21,东方财富,[300059]
请问贵公司截止11月15日股东人数是多少,尊敬的投资者：您好！公司在定期报告中披露公司季度末、半年度末以及年度末的股东人数，敬请留意。,2023-11-21,2023-11-21,东方财富,[300059]
公司在大模型或者算力方面的举措进展如何？,尊敬的投资者：您好，感谢关注。公司聚焦金融科技创新，持续加大AI研发技术投入，公司自研金融领域大模型目前正按照主管部门相关要求推进大模型备案工作。,2023-11-21,2023-11-21,东方财富,[300059]
请问公司大模型是否已经完成备案？谢谢。,尊敬的投资者：您好，感谢您对公司的关注。公司将进一步推进大数据、人工智能等技术创新成果的转化，为用户提供优质的数智化服务体验，目前大模型备案工作正在有序推进中。,2023-11-21,2023-11-21,东方财富,[300059]
听说公司准备收购中信证券，请问什么时候收。,尊敬的投资者：感谢关注。公司不存在您提及的收购计划。,2023-11-21,2023-11-21,东方财富,[300059]
您好，董秘，在贵公司手机APP上面有一个维护个股板块的功能，我参与维护了健康元，丽珠集团要求加入减肥药感念板块几个月了，但是一直不成功，我想知道原因？毕竟健康元，丽珠集团的司美格鲁肽生物类似药治疗糖尿病临床三期入组5月份就完成了，而且12月份会申请减肥药临床，同时拥有原料药，注射笔全产业链，如果说这都不算减肥药概念那什么算？其它公司只要立项研发司美格鲁肽你们都算成减肥药概念，这个都快完成了，不算？,尊敬的投资者：您好，您的建议已转达相关部门。,2023-11-21,2023-11-21,东方财富,[300059]
董秘你好，中央金融工作会议精神指示要建设金融强国的目标，请问作为民营金融机构如何贯彻落实？有没有相关举措？另外，证监会鼓励头部券商并购重组打造一流投行，作为头部券商的东方财富，有无相关计划？谢谢！,尊敬的投资者：您好，公司将积极融入资本市场高质量发展大局，深耕主业、做精专业，不断提升产品体验与服务水平，建设更加完善的互联网财富管理生态圈。如有需要披露的信息，公司将及时履行信息披露义务。,2023-11-21,2023-11-21,东方财富,[300059]
你好董秘，公司在证券行业力争龙头标杆，有打算收购中天证券今后在东北地区做领头羊。,尊敬的投资者：感谢关注。截至目前，公司没有该收购计划。,2023-11-21,2023-11-21,东方财富,[300059]
证监会鼓励券商并购重组，公司缺少承销业务，是否考虑并购有承销业务的证券公司?,尊敬的投资者：您好，公司子公司东方财富证券具有证券承销与保荐业务资格，感谢关注。,2023-11-21,2023-11-21,东方财富,[300059]
我们东方财富在响应国家金融强国号召，做大做强上有什么优势，有什么计划?,尊敬的投资者：您好，感谢您对公司的关注。公司将积极融入资本市场高质量发展大局，深耕主业、做精专业，不断提升产品体验与服务水平，建设更加完善的互联网财富管理生态圈。同时，公司将进一步加快推进大数据、人工智能等技术创新成果的转化，为用户提供优质的数智化服务体验，积极赋能金融科技生态业务链，助力公司高质量发展。,2023-11-21,2023-11-21,东方财富,[300059]
您好，证监会上周五表示将支持头部证券公司通过业务创新、集团化经营、并购重组等方式做优做强，打造一流的投资银行，券商作为公司一块重要的业务，想问一了解下公司在业务创新方面的布局？此外，公司投行业务比较弱，建议公司乘政策的东风，并购在业务有竟争力的券商来迅速做强这方面的业务。或与中信等较强的券商进行合作。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-11-21,2023-11-21,东方财富,[300059]
现在算力市场火爆，贵公司具有前端优势，是否有考虑自建算力中心的计划？,尊敬的投资者：您好，感谢关注。,2023-11-21,2023-11-21,东方财富,[300059]
董秘你好，请问东方财富是否会响应证监会“构建航母级券商”号召？东方财富有无成为一流投资银行的计划？如有请详述，谢谢！,尊敬的投资者：您好，感谢您对公司的关注。公司将积极融入资本市场高质量发展大局，深耕主业、做精专业，不断提升产品体验与服务水平，建设更加完善的互联网财富管理生态圈。,2023-11-21,2023-11-21,东方财富,[300059]
请问公司2022年和2021年氧化铝产量和产能分别是多少呀？,尊敬的投资者：您好，公司没有您提及的业务，感谢关注。,2023-10-27,2023-10-27,东方财富,[300059]
公司为什么还不进行回购股票？？,"尊敬的投资者：您好，截至目前，公司已累计回购股份8,634,701股，占公司总股本的0.05%，已使用资金总额13,125.76万元（不含交易费用）。",2023-10-27,2023-10-27,东方财富,[300059]
你好董秘，请问首次已回购的金额是7亿还是7千多万啊，没看懂，希望能回答，谢谢你。,"尊敬的投资者：您好，2023年9月19日，公司首次通过回购专用证券账户以集中竞价交易方式回购公司股份，首次回购股份数量为5,000,071股，成交金额为7,676.36万元（不含交易费用）。感谢您对公司的关注。",2023-10-27,2023-10-27,东方财富,[300059]
请给启迪环境000826增加国企改革概念，其他几个平台都已添加此概念，东方财富作为最大平台，岂能落后。请董秘转达其他部门添加，谢谢。,尊敬的投资者：您好，您的建议已转达相关部门。您也可以通过APP-个股-盘口-参与维护个股板块，或通过APP-行情-板块-成分股页面上操作向我们提供建议。感谢您对公司产品的支持。,2023-9-28,2023-9-28,东方财富,[300059]
董秘您好，请问公司三四季度的业绩增长点在哪里？,尊敬的投资者：您好，感谢关注。公司将积极推进和实施公司整体战略，坚持以用户需求为中心，强化技术和产品的研发创新，不断拓展和完善财富管理生态圈，进一步加强综合服务能力、质量和水平，持续提升用户体验。,2023-9-28,2023-9-28,东方财富,[300059]
高调宣布要用5至10个亿，在22元前回购自家公司股票的东方财富，为何迟迟不见买入自家股票？效率呢？海通证券比你宣布回购晚，已经回购好多天了。,尊敬的投资者：您好，公司相关股票回购进展情况，已在深圳证券交易所网站和符合中国证监会规定条件的信息披露媒体进行了披露。,2023-9-28,2023-9-28,东方财富,[300059]
请问董秘：1、8月31日公司公告称计划5-10亿元回购公司股票，请问如今进展如何？还是认为公司股价跌的不够深，达不到回购的低线？2、注册制全面推行、国家各项政策大力支持资本市发展，中央政治局7月份会议提出“要活跃资本市场、提高投资者信息”，请问公司如何融入新经济形势的发展？如何进一步提升公司业绩回报投资者？3、2023年度公司的目标及方向是什么？公司如何实现估值的合理回归？,尊敬的投资者：您好，公司相关股票回购进展情况，已在深圳证券交易所网站和符合中国证监会规定条件的信息披露媒体进行了披露。我们将积极融入资本市场高质量发展大局，深耕主业、做精专业，不断提升产品体验与服务水平，建设更加完善的财富管理生态圈。同时我们将积极把握新一轮科技革命和产业革命的热潮，加快推进金融垂直大模型的自主研发和创新应用，推动财富管理服务的体系化智能化升级。感谢关注。,2023-9-28,2023-9-28,东方财富,[300059]
董秘您好，请问301390经纬股份有华为概念和杭州亚运会概念，为什么你们App的相关板块里找不到呢？大智慧同花顺都有,尊敬的投资者：您好，您的建议已转达相关部门。您也可以通过APP-个股-盘口-参与维护个股板块，或通过APP-行情-板块-成分股页面上操作向我们提供建议。感谢您对公司产品的支持。,2023-9-15,2023-9-15,东方财富,[300059]
请问贵公司是否有发布过对皇氏集团的评级？这个评级是基于客观收集材料？,尊敬的投资者：您好，经了解，东方财富证券于2023年7月发布皇氏集团深度报告并给予评级，感谢您的关注！,2023-9-15,2023-9-15,东方财富,[300059]
请问贵司回购为什么还不开始呢？贵司一项是高效，速度的代名词。怎么到回购了这么拖拉，都快半个月还没动静呢？,尊敬的投资者：您好，如有需要披露的信息，公司将及时履行信息披露义务，感谢关注。,2023-9-8,2023-9-8,东方财富,[300059]
经常看到贵司给其它上市公司分析推荐，给自己点评一下嘛，让我们更了解公司的情况？另外回购开始了吗，是不是在等合适的价位？谢谢。,尊敬的投资者：您好，感谢您的关注。如有需要披露的信息，公司将及时履行信息披露义务。,2023-9-8,2023-9-8,东方财富,[300059]
建议公司开发适合散户使用的量化交易系统或者网格式交易系统，帮助散户改变不公平的竞争局面。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-9-8,2023-9-8,东方财富,[300059]
政治局会议提出“活跃资本市场”后，财政部、税务总局、证监会、交易所出台了系列支持资本市场的相关措施。近期，量化交易成为市场争议的焦点，重点在于“高频量化、量化融券”以及“量化交易实现T+0”等对“散户”形成了电脑VS人工的不平等竞争局面。贵公司是否考虑过鉴于A股市场的散户体量，是否考虑过针对散户使用的免费量化交易系统？若开发出来，既可以解决电脑VS人工的不公平局面，也能实现量化进一步活跃资本市场。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-9-8,2023-9-8,东方财富,[300059]
请把地铁设计加入海绵城市板块,尊敬的投资者：您好，您的建议已转达相关部门。您也可以通过APP-个股-盘口-参与维护个股板块，或通过APP-行情-板块-成分股页面上操作向我们提供建议。感谢您对公司产品的支持。,2023-9-8,2023-9-8,东方财富,[300059]
请问贵公司Choice数据是否是属于数据要素？请解释一下Choice互联网数据运营详情！谢谢！,尊敬的投资者：您好，感谢关注。Choice数据旗下拥有 Choice金融终端、Choice数据API、Choice数据APP和Choice数据库等产品，通过加工数据要素为客户提供信息服务。,2023-9-8,2023-9-8,东方财富,[300059]
董秘，你好，贵公司东方财富软件什么时候可以推出手机版k线指标编写入，电脑同步指标功能智能化。,尊敬的投资者：您好，感谢您对公司的关注和建议。您的建议已转达相关部门。公司始终坚持以用户需求为中心，不断提升科技赋能水平，满足用户需求，增强用户体验和黏性，持续优化完善一站式互联网财富管理生态圈。,2023-9-8,2023-9-8,东方财富,[300059]
董秘你好，请问公司最新的股东人数是多少？,尊敬的投资者：您好！公司在定期报告中披露公司季度末、半年度末以及年度末的股东人数，敬请留意。,2023-9-8,2023-9-8,东方财富,[300059]
天天基金的盈利能力是否有改善？,尊敬的投资者：您好，感谢您对公司的关注，公司半年度相关经营情况已在半年度报告中进行了披露，敬请查阅。,2023-8-11,2023-8-11,东方财富,[300059]
您好，有一个关于产品的建议，请公司考虑。我建议在东方财富网股吧中引入账户资产显示功能，具体是在股吧用户的用户名后显示该用户在东方财富证券股票账户中股票资产的金额，给与客户一定的等级评定（类似于王者荣耀的段位排序）。这一功能对于有凸显自身实利、争夺话语权等需求的用户应该是有吸引力的，一是能吸引更多人到东财开户，二是会吸引用户将更多的资金放入东财账户，有利于公司提升市场份额，请公司考虑。,尊敬的投资者：您好，感谢您对公司的关注和建议。公司始终坚持以用户需求为中心，将持续提升科技赋能水平，满足用户需求，增强用户体验和黏性，优化完善一站式互联网财富管理生态圈。,2023-8-11,2023-8-11,东方财富,[300059]
董秘你好，公司在AI上目前产品矩阵包括哪些？有没有在布局大模型？,尊敬的投资者：您好，公司坚持以用户需求为中心，为用户创造更多价值，公司持续完善数据智能分析、智能风控等平台建设，提升数字化运营能力；进一步优化智能客服、智能推荐、智能选股、智能投资助手、智能投顾、智能交易等功能，提升产品竞争力和用户体验。公司将积极拥抱AI，持续提升AI技术能力，重点加强金融领域大模型建设，通过强大金融科技能力为用户创造价值。,2023-8-11,2023-8-11,东方财富,[300059]
请问贵公司什么时候下调印花税？,尊敬的投资者：您好，证券交易印花税税率按照《中华人民共和国印花税法》相关规定执行，如有变化，公司将根据相关政策进行相应变动，感谢关注。,2023-8-11,2023-8-11,东方财富,[300059]
请问公司第二季度的自营业务相比一季度如何，公司对今年业绩的预期如何,尊敬的投资者：您好，公司《2023年半年度报告》已披露，敬请留意。,2023-8-11,2023-8-11,东方财富,[300059]
请给天津普林增加汽车零部件概念，其他几个平台已经添加。做为龙头的东方财富不能落后。谢谢。天津普林（002134.SZ）7月19日在投资者互动平台表示，公司生产的PCB部分用于汽车产业链。,尊敬的投资者：您好，您的建议已转达相关部门。您也可以通过APP-个股-盘口-参与维护个股板块，或通过APP-行情-板块-成分股页面上操作向我们提供建议。感谢您对公司产品的支持。,2023-7-21,2023-7-21,东方财富,[300059]
董秘您好，建议停发瑞士DGR，改发东财转债4。,尊敬的投资者：您好，感谢您对公司的关注和建议。,2023-7-21,2023-7-21,东方财富,[300059]
请问公募基金降费对公司影响如何？有什么途径提升市场占有率？,尊敬的投资者：您好，感谢您对公司的关注。公司会进一步加大资源投入，加强数字化、智能化运营建设，充分发挥自身专业化、数字化优势，不断提升产品功能和服务体验，夯实用户规模基础，巩固和强化行业领先地位，推进业务持续发展。,2023-7-21,2023-7-21,东方财富,[300059]
请给三变科技添加储能概念，其他几个平台都添加了。东方财富不能落后。谢谢董秘了 辛苦了。,尊敬的投资者：您好，您的建议已转达相关部门。您也可以通过APP-个股-盘口-参与维护个股板块，或通过APP-行情-板块-成分股页面上操作向我们提供建议。感谢您对公司产品的支持。,2023-7-21,2023-7-21,东方财富,[300059]
